Fecha,Portafolio_Conservador,SPY_Benchmark
2025-07-07,11905.305451459924,13125.34983603089
2025-07-08,11914.305950661452,13118.15994922247
2025-07-09,12018.80996376207,13196.825769596953
2025-07-10,12006.968069387543,13234.044007193486
2025-07-11,11924.34740067419,13187.521210197823
2025-07-14,11905.61313236738,13212.685814027293
2025-07-15,11904.861369380742,13156.224055855286
2025-07-16,11916.28154526401,13200.209245742095
2025-07-17,12031.500306874024,13280.989738707289
2025-07-18,11971.129909517353,13271.262244790016
2025-07-21,11985.546462091312,13296.426848619487
2025-07-22,11949.526947279037,13298.33005395113
2025-07-23,12048.63714578471,13411.465037554219
2025-07-24,12220.81682799182,13415.905849994711
2025-07-25,12315.10526455141,13472.579075425792
2025-07-28,12367.774093194303,13469.195599280654
2025-07-29,12532.29190924686,13433.669099756693
2025-07-30,12566.332636890664,13416.751719030997
2025-07-31,12428.91909069797,13366.422511372053
2025-08-01,12304.955505658547,13147.342430974297
2025-08-04,12466.001228065392,13347.178990796574
2025-08-05,12380.187930205742,13279.509467893793
2025-08-06,12460.927289063724,13381.225219507036
2025-08-07,12467.148326795885,13370.017454776264
2025-08-08,12468.102253706778,13474.27081349836
2025-08-11,12445.587234252427,13447.62593885539
2025-08-12,12651.854671030089,13590.789273246592
2025-08-13,12676.835110586064,13637.312070242253
2025-08-14,12653.884377277041,13638.580873796682
2025-08-15,12568.239723688928,13606.64931767693
2025-08-18,12618.840411752006,13603.688776049932
2025-08-19,12492.441563774679,13529.886702634085
2025-08-20,12421.810070240143,13493.937268591983
2025-08-21,12378.948807315222,13439.801650269756
2025-08-22,12577.647355298803,13646.193695123242
2025-08-25,12560.119453637464,13586.136993547025
2025-08-26,12602.739165277922,13643.021686237174
2025-08-27,12668.470334285936,13674.107373320641
2025-08-28,12807.375323815952,13722.533375647943
2025-08-29,12677.292895031556,13640.695546387391
2025-09-02,12618.599360475391,13539.61419655136
2025-09-03,12671.834262262748,13612.993335449066
2025-09-04,12756.600393087127,13726.762720829369
2025-09-05,13112.564591119708,13687.006876123984
2025-09-08,13251.6923001504,13720.630170316304
2025-09-09,13106.668044996417,13752.350259176983
2025-09-10,13310.966524825411,13792.106103882368
2025-09-11,13338.040076278634,13906.721358298953
2025-09-12,13234.920669566493,13902.069078599387
2025-09-15,13336.135211267494,13976.082619274306
2025-09-16,13306.131907413286,13956.839098698827
2025-09-17,13089.747333345354,13939.498783454988
2025-09-18,13172.744681950175,14004.630699248917
2025-09-19,13201.562617349806,14035.08198455517
2025-09-22,13132.677793950013,14101.482703903524
2025-09-23,13130.863509383773,14024.720088860682
2025-09-24,13052.205900891237,13980.10049719666
2025-09-25,12951.91028425832,13915.602983179944
2025-09-26,12972.191659236792,13995.326139849785
2025-09-29,12914.60550174501,14034.659050037026
2025-09-30,12951.237058791714,14087.525864804824
2025-10-01,13010.982703357447,14135.528932613988
2025-10-02,13076.674233625472,14151.811911562469
2025-10-03,13081.490788707551,14151.600444303398
2025-10-06,13070.524107414483,14202.352586480485
2025-10-07,13051.169413734815,14149.697238971758
2025-10-08,13178.883601350384,14234.072675341164
2025-10-09,13132.54943283937,14192.836559822279
2025-10-10,12764.885027765724,13809.234951867133
2025-10-13,13190.853198133187,14021.12514545647
2025-10-14,13095.62717931551,14003.996297471704
2025-10-15,13182.430493604357,14066.167671638634
2025-10-16,13200.300181289504,13970.373003279383
2025-10-17,13108.783937926906,14049.673225431081
2025-10-20,13172.97341110486,14195.797101449276
2025-10-21,13171.354851194186,14195.585634190205
2025-10-22,13122.051813015494,14121.783560774358
2025-10-23,13029.553114652275,14205.524595366553
2025-10-24,13177.089683101342,14321.620120596637
2025-10-27,13273.933615037604,14490.582460594522
2025-10-28,13295.944820588855,14529.069501745478
2025-10-29,13392.792298949096,14536.047921294828
2025-10-30,13221.303834713974,14376.178673437007
2025-10-31,13199.871296781052,14423.335872209882
2025-11-03,13053.894372155772,14450.403681370995
2025-11-04,12919.135623539943,14279.115201523327
2025-11-05,12941.662875523756,14328.598540145987
2025-11-06,12944.807538486617,14174.861842801227
2025-11-07,12915.82918564848,14188.818681899927
2025-11-10,13061.8686373118,14410.224902147469
2025-11-11,12963.545426706412,14443.213794562575
2025-11-12,12991.096904175729,14451.24955040728
2025-11-13,12786.137315543374,14211.445678620545
2025-11-14,12774.18600099164,14209.119538770761
2025-11-17,12705.346028928201,14076.741034592194
2025-11-18,12645.564664465182,13958.530836771399
2025-11-19,12792.724070789793,14012.454987834552
2025-11-20,12650.735957517798,13798.873056172644
2025-11-21,12659.91978756321,13936.32677456892
2025-11-24,13103.742779871991,14141.45001586798
2025-11-25,13192.971277843837,14274.46292182376
2025-11-26,13348.400413146337,14373.006664550938
2025-11-28,13426.095184375774,14451.46101766635
2025-12-01,13193.564944893453,14385.483232836137
2025-12-02,13188.195753738848,14412.128107479108
2025-12-03,13318.214919642853,14462.03438061991
2025-12-04,13309.802858590654,14472.60774357347
2025-12-05,13383.920682826863,14500.098487252726
2025-12-08,13460.551399994109,14456.53623188406
2025-12-09,13524.053946784501,14444.059663598859
2025-12-10,13685.121783112216,14539.854331958111
2025-12-11,13642.037962396329,14573.6890934095
2025-12-12,13060.7125058481,14416.991854437747
2025-12-15,12832.675178219339,14395.210726753414
2025-12-16,12854.831378934918,14355.877816566172
2025-12-17,12613.160771086881,14197.911774039989
2025-12-18,12698.10051346774,14305.125674389084
2025-12-19,12763.889248893302,14383.785890881203
